date,code,close,open,high,low,volume
2018/4/4,sz50,2702.37,2706.42,2730.25,2698.89,2670000000
2018/4/9,sz50,2715.73,2706.33,2721.59,2688.83,2630000000
2018/4/10,sz50,2780.8,2719.52,2781.27,2710.87,3810000000
2018/4/11,sz50,2785.34,2782.67,2803.88,2767.38,3900000000
2018/4/12,sz50,2749.7,2785.12,2785.31,2747.77,2610000000
2018/4/13,sz50,2726.4,2765.67,2771.03,2724.17,2180000000
2018/4/16,sz50,2664.7,2716.58,2723.58,2656.52,3670000000
2018/4/17,sz50,2635.7,2669.26,2683.5,2633.59,2710000000
2018/4/18,sz50,2653.77,2666.62,2668.79,2623.97,3150000000
2018/4/19,sz50,2682.55,2661.3,2693.14,2656.15,2600000000
2018/4/20,sz50,2647.38,2672.36,2677.92,2632.75,2810000000
2018/4/23,sz50,2664.92,2637.07,2671.01,2636.68,2530000000
2018/4/24,sz50,2722.85,2669.61,2737.21,2669.61,3940000000
2018/4/25,sz50,2702.98,2707.71,2717.31,2696.22,2350000000
2018/4/26,sz50,2666.02,2712.52,2717.57,2652.42,2350000000
2018/4/27,sz50,2653.54,2672.64,2675.1,2613.53,2840000000
2018/5/2,sz50,2652.73,2662.08,2667.96,2637.06,2670000000
2018/5/3,sz50,2663.98,2643.97,2671.24,2626.54,2620000000
2018/5/4,sz50,2646.35,2659.27,2669.7,2643.26,2080000000
2018/5/7,sz50,2683.85,2649.1,2686.22,2638.17,2660000000
2018/5/8,sz50,2722.88,2683.84,2736.76,2682.79,3160000000
2018/5/9,sz50,2717.24,2723.09,2725.2,2706.48,2030000000
2018/5/10,sz50,2729.4,2727.52,2738.63,2712.47,1960000000
2018/5/11,sz50,2724.72,2737.23,2738.65,2720.55,2350000000
2018/5/14,sz50,2753.54,2736.98,2761.49,2736.04,2710000000
2018/5/15,sz50,2750.83,2760.2,2760.57,2731.57,2250000000
2018/5/16,sz50,2716.78,2739.89,2744.62,2714.26,2180000000
2018/5/17,sz50,2700.88,2720.77,2724.39,2698.17,1670000000
2018/5/18,sz50,2740.53,2697.72,2741.01,2690.99,2290000000
2018/5/21,sz50,2745.8,2753.88,2761.72,2739.68,2780000000
2018/5/22,sz50,2728,2744.32,2744.32,2711.06,2330000000
2018/5/23,sz50,2683.69,2721.02,2721.02,2683.59,2540000000
2018/5/24,sz50,2665.68,2684.13,2691.03,2664.12,1970000000
2018/5/25,sz50,2661.29,2663.32,2679.85,2650.34,1990000000
2018/5/28,sz50,2673.2,2661.21,2682.78,2650.4,1850000000
2018/5/29,sz50,2663.4,2666.83,2676.68,2642.87,2690000000
2018/5/30,sz50,2605.9,2632.71,2637.19,2604.91,2420000000
2018/5/31,sz50,2658.29,2626.94,2661.66,2624.67,2650000000
2018/6/1,sz50,2647.19,2652.25,2664.31,2637.37,2040000000
2018/6/4,sz50,2694.58,2664.84,2697.75,2658.57,2250000000
2018/6/5,sz50,2707.02,2697.69,2712.12,2680.24,2220000000
2018/6/6,sz50,2692.18,2702.71,2703.41,2688.33,2050000000
2018/6/7,sz50,2695.24,2697.51,2717.06,2693.1,2350000000
2018/6/8,sz50,2652.08,2686.09,2686.15,2637.36,2600000000
2018/6/11,sz50,2660.41,2644.43,2665.93,2633.08,1980000000
2018/6/12,sz50,2687.7,2662.39,2691.97,2650.97,1960000000
2018/6/13,sz50,2671.63,2681.31,2686.07,2662.75,1940000000
2018/6/14,sz50,2671.3,2662.23,2691.04,2659.57,2140000000
2018/6/15,sz50,2667.98,2657.59,2677.31,2657.51,2560000000
2018/6/19,sz50,2599.78,2638.4,2646.64,2571.69,5760000000
2018/6/20,sz50,2598.33,2588.12,2607.47,2567.5,2380000000
2018/6/21,sz50,2579.05,2597.3,2628.04,2575.17,2460000000
2018/6/22,sz50,2583.71,2564.87,2586.33,2553.3,1970000000
